grades,toeic,tos,opic,foreign_lang,certificate,foreign_exp,intern,prize,volunteer,label
0,0,0,0,0,1,0,0,0,0,0
3.49,0,0,0,0,1,0,0,0,0,0
3.37,0,0,0,0,4,0,0,0,0,1
3.69,0,0,0,0,3,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0
3.8,550,0,0,0,1,0,0,0,0,1
3.31,0,0,0,0,3,0,1,1,2,1
3,965,0,0,0,0,0,0,0,0,1
3.56,0,0,2,0,2,0,0,0,5,1
3.5,0,0,0,0,0,0,3,0,0,1
3.8,0,0,0,0,2,0,0,1,0,1
3.8,0,0,0,0,2,0,0,0,0,0
4.03,0,0,0,1,0,0,0,0,0,0
